Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QSE
09527,2431986.27728,1946 Jun 14,18:39:17,28,-663,129,T-,pp
09528,2432163.24199,1946 Dec 08,17:48:28,28,-657,134,T,p-
09529,2432340.30259,1947 Jun 03,19:15:44,28,-651,139,P,t-
09530,2432517.85728,1947 Nov 28,08:34:29,28,-645,144,N,a-
09531,2432665.06896,1948 Apr 23,13:39:18,28,-640,111,P,-a
09532,2432842.60811,1948 Oct 18,02:35:41,29,-634,116,Nx,-t
09533,2433019.67459,1949 Apr 13,04:11:25,29,-628,121,T+,-p
09534,2433196.62286,1949 Oct 07,02:56:55,29,-622,126,T,-p
09535,2433374.36428,1950 Apr 02,20:44:34,29,-616,131,T,a-
09536,2433550.6786,1950 Sep 26,04:17:11,29,-610,136,T,t-
09537,2433728.94274,1951 Mar 23,10:37:33,30,-604,141,N,a-
09538,2433875.63517,1951 Aug 17,03:14:39,30,-599,108,N,-a
09539,2433905.01882,1951 Sep 15,12:27:06,30,-598,146,N,a-
09540,2434053.52764,1952 Feb 11,00:39:48,30,-593,113,P,-t
09541,2434230.32494,1952 Aug 05,19:47:55,30,-587,118,P,-a
09542,2434407.49154,1953 Jan 29,23:47:49,30,-581,123,T+,-p
09543,2434585.0147,1953 Jul 26,12:21:10,30,-575,128,T-,pp
09544,2434761.6058,1954 Jan 19,02:32:21,31,-569,133,T,a-
09545,2434939.51448,1954 Jul 16,00:20:51,31,-563,138,P,t-
09546,2435116.02315,1955 Jan 08,12:33:20,31,-557,143,N,a-
09547,2435264.09957,1955 Jun 05,14:23:23,31,-552,110,N,-t
09548,2435441.20833,1955 Nov 29,17:00:00,31,-546,115,P,-a
