Object,MJD,Year,Month,Day,Distance,H,Collide,Distance (km),DiscoveryYear,Warning,Size (m),Size Source,H Source
2014 LY21,2486763.23,2096,June,3.73,0.001876,-99.0,N,280645.605433,2014.41666667,82.0647853881,-1.0,?,?
2012 HM13,2456036.99,2012,Apr.,19.49,0.001877,-99.0,N,280795.203304,2012.29166667,0.00830593607361,-1.0,?,?
2013 UV3,2456595.41,2013,Oct.,29.91,0.001895,-99.0,N,283487.964976,2013.79166667,0.0382237442925,-1.0,?,?
2009 KR21,2454983.92,2009,June,1.42,0.001897,-99.0,N,283787.160718,2009.375,0.0398493150683,-1.0,?,?
2010 UJ7,2455502.61,2010,Nov.,2.11,0.001915,25.4,N,286479.92239,2010.79166667,0.044251141552,21.0,I,E
2011 DU9,2455616.29,2011,Feb.,23.79,0.001922,-99.0,N,287527.107485,2011.125,0.0223698630139,-1.0,?,?
2010 VC140,2455514.09,2010,Nov.,13.59,0.001936,-99.0,N,289621.477675,2010.83333333,0.03403652968,-1.0,?,?
2011 SM173,2455835.21,2011,Sept.,30.71,0.001942,-99.0,N,290519.064899,2011.70833333,0.0388173515983,-1.0,?,?
2014 HL129,2456780.84,2014,May,3.34,0.001955,-99.0,N,292463.837218,2014.29166667,0.0462511415519,-1.0,?,?
2009 JF1,2454957.32,2009,May,5.82,0.001956,-99.0,N,292613.435089,2009.33333333,0.0086392694061,-1.0,?,?
2009 DO111,2504951.91,2146,Mar.,23.41,0.001957,22.8,N,292763.03296,2009.125,137.188452055,73.0,I,E
2008 GF1,2454564.17,2008,Apr.,7.67,0.001961,-99.0,N,293361.424443,2008.25,0.0148493150682,-1.0,?,?
2012 TP20,2510625.05,2161,Oct.,3.55,0.001971,-99.0,N,294857.40315,2012.75,149.10630137,-1.0,?,?
2008 BC15,2454497.05,2008,Jan.,31.55,0.001975,-99.0,N,295455.794632,2008.04166667,0.0392922374424,-1.0,?,?
(85640) 1998 OX4,2505621.64,2148,Jan.,22.14,0.00198,21.1,N,296203.783986,1998.54166667,149.6066621,162.0,M,M
2008 OY2,2481336.61,2081,July,26.11,0.002008,-99.0,N,300392.524366,2008.54166667,73.0723333333,-1.0,?,?
2012 EK5,2486326.15,2095,Mar.,24.65,0.002008,-99.0,N,300392.524366,2012.16666667,83.1173059361,-1.0,?,?
2014 GQ17,2467778.61,2044,June,12.11,0.002022,-99.0,N,302486.894555,2014.25,30.2187945205,-1.0,?,?
2008 CB6,2481248.29,2081,Apr.,28.79,0.002024,-99.0,N,302786.090297,2008.08333333,73.2886940639,-1.0,?,?
2009 TU,2455113.49,2009,Oct.,8.99,0.002038,-99.0,N,304880.460487,2009.75,0.019835616439,-1.0,?,?
2009 WW7,2473050.42,2058,Nov.,17.92,0.002039,-99.0,N,305030.058357,2009.875,49.037109589,-1.0,?,?
2001 BA16,2451925.35,2001,Jan.,15.85,0.002048,-99.0,N,306376.439194,2001.04166667,-0.00646118721443,-1.0,?,?
2009 WP6,2455151.12,2009,Nov.,15.62,0.002061,-99.0,N,308321.211513,2009.875,-0.00206849315032,-1.0,?,?
2011 DU9,2430048.69,1941,Feb.,23.19,0.002071,-99.0,N,309817.19022,2011.125,-70.0258493151,-1.0,?,?
2001 AV43,2462452.12,2029,Nov.,11.62,0.002078,24.9,N,310864.375315,2001.0,28.8756712329,27.0,I,E
2004 XK3,2513960.9,2170,Nov.,21.4,0.002087,24.4,N,312210.756151,2004.91666667,166.078949772,36.0,I,E
2014 LY21,2417364.09,1906,June,2.59,0.002094,-99.0,N,313257.941246,2014.41666667,-108.069844749,-1.0,?,?
2001 BA16,2481144.64,2081,Jan.,15.14,0.002116,-99.0,N,316549.094401,2001.04166667,80.0463881279,-1.0,?,?
2012 XB112,2456276.13,2012,Dec.,14.63,0.002118,29.9,N,316848.290143,2012.91666667,0.0384840182644,2.74,I,E
2012 MF7,2456099.61,2012,June,21.11,0.002121,-99.0,N,317297.083755,2012.45833333,0.0132009132417,-1.0,?,?
2008 UA202,2446721.04,1986,Oct.,17.54,0.002131,-99.0,N,318793.062462,2008.79166667,-22.0148447489,-1.0,?,?
2012 BV1,2455946.8,2012,Jan.,20.3,0.002132,-99.0,N,318942.660332,2012.04166667,0.0112100456615,-1.0,?,?
2011 AN52,2455579.47,2011,Jan.,17.97,0.002133,-99.0,N,319092.258203,2011.0,0.0464931506856,-1.0,?,?
2012 TQ231,2492375.09,2111,Oct.,16.59,0.002144,-99.0,N,320737.834781,2012.75,99.1064109589,-1.0,?,?
2011 EB74,2455637.39,2011,Mar.,16.89,0.002152,-99.0,N,321934.617746,2011.16666667,0.0385114155254,-1.0,?,?
2010 HS20,2429080.14,1938,June,30.64,0.002164,-99.0,N,323729.792195,2010.29166667,-71.8460776256,-1.0,?,?
(308635) 2005 YU55,2455874.48,2011,Nov.,8.98,0.002172,21.9,N,324926.57516,2005.95833333,5.89640639269,114.0,M,M
2012 UE34,2448355.16,1991,Apr.,8.66,0.002186,-99.0,N,327020.94535,2012.79166667,-21.537803653,-1.0,?,?
2000 LG6,2513781.72,2170,May,26.22,0.00219,-99.0,N,327619.336833,2000.41666667,170.088045662,-1.0,?,?
2008 FK,2454548.91,2008,Mar.,23.41,0.002192,-99.0,N,327918.532574,2008.20833333,0.0147077625575,-1.0,?,?
2013 UG1,2443068.68,1976,Oct.,17.18,0.002193,-99.0,N,328068.130445,2013.79166667,-37.0213105023,-1.0,?,?
2012 BU1,2438040.87,1963,Jan.,11.37,0.0022,-99.0,N,329115.31554,2012.04166667,-49.0461324201,-1.0,?,?
2012 UE34,2486706.3,2096,Apr.,7.8,0.002203,-99.0,N,329564.109152,2012.79166667,83.5338127854,-1.0,?,?
2013 HT150,2462793.43,2030,Oct.,18.93,0.002206,-99.0,N,330012.902764,2013.29166667,17.5191004566,-1.0,?,?
2010 TN55,2455480.55,2010,Oct.,11.05,0.002211,-99.0,N,330760.892118,2010.75,0.0254794520542,-1.0,?,?
2008 HC38,2449654.4,1994,Oct.,28.9,0.002217,-99.0,N,331658.479342,2008.29166667,-13.4782420091,-1.0,?,?
2008 UA202,2454758.19,2008,Oct.,18.69,0.002223,-99.0,N,332556.066566,2008.79166667,0.00474429223732,-1.0,?,?
2011 WQ4,2440549.23,1969,Nov.,23.73,0.002231,-99.0,N,333752.849532,2011.875,-42.0072465753,-1.0,?,?
2009 VT1,2417128.31,1905,Oct.,9.81,0.002232,-99.0,N,333902.447402,2009.83333333,-104.132484018,-1.0,?,?
2008 GM2,2432280.73,1947,Apr.,5.23,0.00224,-99.0,N,335099.230368,2008.25,-61.0356712329,-1.0,?,?
2011 PU1,2455767.31,2011,July,24.81,0.002243,-99.0,N,335548.02398,2011.58333333,-0.022210045662,-1.0,?,?
2005 WY55,2475433.54,2065,May,28.04,0.00225,-99.0,N,336595.209075,2005.875,59.5662054795,-1.0,?,?
(367943) Duende,2421276.47,1917,Feb.,16.97,0.002264,24.0,N,338689.579265,2012.125,-95.0593287671,40.0,M,M
2009 EW,2454896.65,2009,Mar.,6.15,0.002265,26.4,N,338839.177136,2009.16666667,0.00908675799064,13.8,I,E
2002 FD6,2419132.78,1911,Apr.,6.28,0.002267,22.51,N,339138.372877,2002.20833333,-91.0157853881,84.6,I,E
2010 XW58,2436182.15,1957,Dec.,9.65,0.002279,-99.0,N,340933.547325,2010.91666667,-53.0135159817,-1.0,?,?
2013 VJ11,2456605.18,2013,Nov.,8.68,0.002284,27.9,N,341681.536679,2013.83333333,0.0233242009137,6.96,I,E
