Name,RA,Dec,AVM code,AVM description,Source
NGC 3557,167.4902208,-37.5391722,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3558,167.7326792,28.5437333,5,Radio Galaxy,Simbad
NGC 3559,167.6884458,12.0161111,5,Galaxy,Simbad
NGC 3560,167.6883792,12.0161444,5,G,NED*
NGC 3561,167.8048708,28.6964917,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3562,168.2444625,72.8792944,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3563,167.8554167,26.9628611,5.5.1,Pair of Galaxies,Simbad
NGC 3564,167.6516250,-37.5476000,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3565,166.9494917,-20.0223000,5.1.7,Interacting Galaxies,Simbad
NGC 3566,166.9508292,-20.0225000,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3567,167.8278792,5.8363333,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3568,167.7024250,-37.4478861,5;5.1.1,Spiral Galaxy,Simbad
NGC 3569,168.0337042,35.4521278,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3570,168.0138250,27.5896444,5;5.1.3,Lenticular Galaxy,Simbad
NGC 3571,167.8768750,-18.2894167,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3572,167.5958000,-60.2483000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3573,167.8273000,-36.8755000,5.3.2.4;5.1.3,Lenticular Galaxy,Simbad
NGC 3574,168.0504750,27.6246583,5.3.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3575,153.3816042,22.7375611,5,G,NED*
NGC 3576,167.9575000,-61.3038889,4.2.1.1,HII (ionized) region,Simbad
NGC 3577,168.4370125,48.2725833,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3578,168.2199500,-15.9572389,3.6,Two stars,DSObrowser
NGC 3579,167.9983292,-61.2433306,4.1.1,Insterstellar matter,Simbad
NGC 3580,168.3163292,3.6573833,5,Galaxy,Simbad
NGC 3581,167.9883292,-61.3136111,4.2.1.1,HII (ionized) region,Simbad
NGC 3582,168.0500000,-61.2736111,4.1.1,Insterstellar matter,Simbad
NGC 3583,168.5457458,48.3183778,5.5.1;5.1.2,Barred Galaxy,Simbad
NGC 3584,168.0825000,-61.2286111,4.1.1,Insterstellar matter,Simbad
NGC 3585,168.3212875,-26.7549889,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3586,168.1245792,-61.3522194,4.1.1,Insterstellar matter,Simbad
NGC 3587,168.6987542,55.0190889,4.1.3,Planetary Nebula,Simbad
NGC 3588,168.5102250,20.3872472,5.5.3,Galaxy in Cluster of Galaxies,Simbad
NGC 3589,168.8084583,60.7008611,5,Galaxy,Simbad
NGC 3590,168.2458000,-60.7883000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 3591,168.5136125,-14.0872417,5.5.2,Galaxy in Group of Galaxies,Simbad
