Date,Class,Value (W/m*2)
2005-01-15T22:25,X2.6,0.000260
2005-01-17T06:59,X3.8,0.000380
2005-01-19T08:03,X1.3,0.000130
2005-01-20T06:36,X7.1,0.000710
2005-07-14T10:16,X1.2,0.000120
2005-07-30T06:17,X1.3,0.000130
2005-09-07T17:17,X17,0.001700
2005-09-08T20:52,X5.4,0.000540
2005-09-09T02:43,X1.1,0.000110
2005-09-09T09:42,X3.6,0.000360
2005-09-09T19:13,X6.2,0.000620
2005-09-10T16:34,X1.1,0.000110
2005-09-10T21:30,X2.1,0.000210
2005-09-13T19:19,X1.5,0.000150
2005-09-13T23:15,X1.7,0.000170
2005-09-15T08:30,X1.1,0.000110
2006-12-05T10:18,X9,0.000900
2006-12-06T18:29,X6.5,0.000650
2006-12-13T02:14,X3.4,0.000340
2006-12-14T21:07,X1.5,0.000150
2011-02-15T01:44,X2.2,0.000220
2011-03-09T23:13,X1.5,0.000150
2011-08-09T07:48,X6.9,0.000690
2011-09-06T22:12,X2.1,0.000210
2011-09-07T22:32,X1.8,0.000180
2011-09-22T10:29,X1.4,0.000140
2011-09-24T09:21,X1.9,0.000190
2011-11-03T20:16,X1.9,0.000190
2012-01-27T17:37,X1.7,0.000170
2012-03-05T02:30,X1.1,0.000110
2012-03-07T00:02,X5.4,0.000540
2012-03-07T01:05,X1.3,0.000130
2012-07-06T23:01,X1.1,0.000110
2012-07-12T15:37,X1.4,0.000140
2012-10-23T03:13,X1.8,0.000180
2013-05-13T01:53,X1.7,0.000170
2013-05-13T15:48,X2.8,0.000280
2013-05-14T00:00,X3.2,0.000320
2013-05-15T01:25,X1.2,0.000120
2013-10-25T07:53,X1.7,0.000170
2013-10-25T14:51,X2.1,0.000210
2013-10-28T01:41,X1,0.000100
2013-10-29T21:42,X2.3,0.000230
2013-11-05T22:07,X3.3,0.000330
2013-11-08T04:20,X1.1,0.000110
2013-11-10T05:08,X1.1,0.000110
2013-11-19T10:14,X1,0.000100
2014-01-07T18:04,X1.2,0.000120
2014-02-25T00:39,X4.9,0.000490
2014-03-29T17:35,X1,0.000100
2014-04-25T00:17,X1.3,0.000130
2014-06-10T11:36,X2.2,0.000220
2014-06-10T12:36,X1.5,0.000150
2014-06-11T08:59,X1,0.000100
2014-09-10T17:21,X1.6,0.000160
2014-10-19T04:17,X1.1,0.000110
2014-10-22T14:02,X1.6,0.000160
2014-10-24T21:07,X3.1,0.000310
2014-10-25T16:55,X1,0.000100
2014-10-26T10:04,X2,0.000200
2014-10-27T14:12,X2,0.000200
2014-11-07T16:53,X1.6,0.000160
2014-12-20T00:11,X1.8,0.000180
2015-03-11T16:11,X2.2,0.000220
2015-05-05T22:05,X2.7,0.000270
