P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-216 c,Kepler-216 c,708.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.46,,3.04,0.20,0.59,1.34,        106.0004,        106.0004,        106.0004,817.5,817.5,817.5,,,,1.1,-24.68,5.77,17.41,0.1360,0.00,0.14,,0.0,Kepler-216,,,Cyg,F,1.11,1.26,6091.0,1.960583,-0.183,,,,19.5819,46.1292,-31.8,4.9388,2,0,1.031,2.411,-2.30,2.55,-0.82,0.22,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-217 b,Kepler-217 b,710.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.11,,2.23,1.45,3.24,2.69,        997.7697,        997.7698,        997.7699,1431.9,1431.9,1431.9,1479.4,1479.4,1479.4,23.4,-26.46,4.24,5.37,0.0650,0.00,0.07,,0.0,Kepler-217,,,Cyg,F,1.27,1.80,6171.0,4.215578,,,,,19.5359,46.2775,-34.3,14.7988,2,0,1.504,3.512,-2.43,-0.12,-0.36,0.29,0.00,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-217 c,Kepler-217 c,710.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.56,,1.85,1.20,2.21,2.02,        532.2026,        532.2027,        532.2028,1223.7,1223.7,1223.7,1267.1,1267.1,1267.1,9.0,-25.36,3.51,8.59,0.0890,0.00,0.09,,0.0,Kepler-217,,,Cyg,F,1.28,1.80,6171.0,4.215578,,,,,19.5359,46.2775,-33.6,10.7940,2,0,1.504,3.512,-2.41,-0.14,-0.61,0.29,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-218 b,Kepler-218 b,711.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.31,,1.48,1.02,1.52,1.50,        436.5844,        436.5845,        436.5845,1164.6,1164.6,1164.6,1203.8,1203.8,1203.8,3.4,-24.66,2.81,3.62,0.0460,0.00,0.05,,0.0,Kepler-218,,,Cyg,G,0.99,1.06,5502.0,0.923813,0.194,,,,19.6942,46.2665,-33.4,12.3039,2,0,0.733,1.741,-2.36,-0.16,-0.88,0.28,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-218 c,Kepler-218 c,711.01,Hot,Neptunian,gas,metals-rich,non-habitable,,6.05,,3.14,0.20,0.62,1.39,        15.02037,        15.02037,        15.02037,501.6,501.6,501.6,,,,1.2,-22.62,5.96,44.70,0.2480,0.00,0.25,,0.0,Kepler-218,,,Cyg,G,1.02,1.06,5502.0,0.923813,0.194,,,,19.6942,46.2665,-29.7,2.2779,2,0,0.733,1.741,-1.96,2.59,-0.53,0.23,,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-219 b,Kepler-219 b,718.01,Hot,Neptunian,gas,no-atmosphere,non-habitable,,4.98,,2.95,0.19,0.57,1.30,        687.1103,        687.1104,        687.1105,1304.4,1304.4,1304.4,,,,1.0,-26.66,5.60,4.59,0.0570,0.00,0.06,,0.0,Kepler-219,,,Cyg,G,1.18,1.49,5786.0,2.232422,0.020,,,,19.2493,46.7626,-33.9,13.9652,3,0,1.121,2.640,-2.40,2.52,-1.03,0.22,,0.00,0.00,0.21,0,0,0,1,Primary Transit,      2014.00
Kepler-219 c,Kepler-219 c,718.02,Hot,Neptunian,gas,metals-rich,non-habitable,,9.05,,3.57,0.20,0.71,1.59,        81.99895,        81.99895,        81.99897,766.6,766.6,766.6,,,,1.8,-24.76,6.79,22.71,0.1650,0.00,0.17,,0.0,Kepler-219,,,Cyg,G,1.16,1.49,5786.0,2.232422,0.020,,,,19.2493,46.7626,-31.5,4.8138,3,0,1.121,2.640,-2.26,2.76,-0.62,0.22,,0.00,0.00,0.20,0,0,0,1,Primary Transit,      2014.00
Kepler-219 d,Kepler-219 d,718.03,Hot,Neptunian,gas,metals-rich,non-habitable,,4.29,,2.81,0.19,0.54,1.24,        30.17438,        30.17439,        30.17439,597.1,597.1,597.1,,,,0.8,-23.15,5.34,47.90,0.2720,0.00,0.27,,0.0,Kepler-219,,,Cyg,G,1.17,1.49,5786.0,2.232422,0.020,,,,19.2493,46.7626,-30.4,2.9196,3,0,1.121,2.640,-2.12,2.48,-0.75,0.23,,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-220 b,Kepler-220 b,719.04,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.43,,0.81,0.82,0.66,0.73,        87.61893,        87.61895,        87.61897,779.5,779.5,779.5,809.0,809.0,809.0,0.4,-21.58,1.53,4.16,0.0460,0.00,0.05,,0.0,Kepler-220,,,Cyg,K,0.75,0.67,4632.0,0.185402,,,,,19.4337,46.8958,-31.6,7.7680,4,0,0.343,0.842,-2.19,-0.18,-1.22,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-220 c,Kepler-220 c,719.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.09,,1.57,1.06,1.66,1.62,        32.09863,        32.09863,        32.09863,606.4,606.4,606.4,646.7,646.7,646.7,4.3,-21.94,2.98,9.03,0.0760,0.00,0.08,,0.0,Kepler-220,,,Cyg,K,0.72,0.67,4632.0,0.185402,,,,,19.4337,46.8958,-30.5,4.6994,4,0,0.343,0.842,-2.07,-0.15,-0.46,0.32,0.00,0.00,0.00,0.32,0,0,0,1,Primary Transit,      2014.00
Kepler-220 d,Kepler-220 d,719.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,0.80,,0.97,0.86,0.84,0.90,        6.978119,        6.978120,        6.978122,414.1,414.1,414.1,446.5,446.5,446.5,0.7,-19.24,1.85,28.12,0.1630,0.00,0.16,,0.0,Kepler-220,,,Cyg,K,0.73,0.67,4632.0,0.185402,,,,,19.4337,46.8958,-28.8,2.1906,4,0,0.343,0.842,-1.72,-0.17,-0.87,0.34,0.00,0.00,0.00,0.47,0,0,0,1,Primary Transit,      2014.00
Kepler-220 e,Kepler-220 e,719.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.30,,1.33,0.97,1.29,1.31,        3.629917,        3.629918,        3.629918,351.7,351.7,351.7,389.1,389.1,389.1,2.2,-19.21,2.53,45.90,0.2260,0.00,0.23,,0.0,Kepler-220,,,Cyg,K,0.73,0.67,4632.0,0.185402,,,,,19.4337,46.8958,-28.1,1.5799,4,0,0.343,0.842,-1.47,-0.16,-0.38,0.40,0.00,0.00,0.00,0.59,0,0,0,1,Primary Transit,      2014.00
Kepler-221 b,Kepler-221 b,720.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.68,,1.71,1.13,1.93,1.82,        332.9917,        332.9918,        332.9919,1088.3,1088.3,1088.3,1130.3,1130.3,1130.3,6.4,-24.69,3.26,2.80,0.0370,0.00,0.04,,0.0,Kepler-221,,,Cyg,K,0.72,0.82,5243.0,0.455866,-0.413,,,,19.7770,46.8353,-33.1,11.8316,4,0,0.522,1.251,-2.33,-0.15,-0.66,0.29,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-221 c,Kepler-221 c,720.01,Hot,Neptunian,gas,metals-rich,non-habitable,,4.86,,2.92,0.19,0.57,1.29,        130.9583,        130.9583,        130.9583,861.8,861.8,861.8,,,,0.9,-24.83,5.56,5.69,0.0590,0.00,0.06,,0.0,Kepler-221,,,Cyg,K,0.72,0.82,5243.0,0.455866,-0.413,,,,19.7770,46.8353,-32.0,7.4118,4,0,0.522,1.251,-2.27,2.51,-0.88,0.22,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-221 d,Kepler-221 d,720.02,Hot,Neptunian,gas,metals-rich,non-habitable,,3.92,,2.73,0.19,0.52,1.20,        60.22800,        60.22800,        60.22801,709.7,709.7,709.7,,,,0.8,-23.84,5.20,10.04,0.0870,0.00,0.09,,0.0,Kepler-221,,,Cyg,K,0.72,0.82,5243.0,0.455866,-0.413,,,,19.7770,46.8353,-31.2,5.0245,4,0,0.522,1.251,-2.19,2.46,-0.86,0.23,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-221 e,Kepler-221 e,720.03,Hot,Neptunian,gas,metals-rich,non-habitable,,3.47,,2.63,0.19,0.50,1.15,        26.97430,        26.97431,        26.97431,580.6,580.6,580.6,,,,0.7,-22.88,5.00,18.37,0.1300,0.00,0.13,,0.0,Kepler-221,,,Cyg,K,0.72,0.82,5243.0,0.455866,-0.413,,,,19.7770,46.8353,-30.3,3.3620,4,0,0.522,1.251,-2.08,2.43,-0.81,0.23,,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-222 b,Kepler-222 b,723.01,Hot,Neptunian,gas,metals-rich,non-habitable,,6.19,,3.16,0.20,0.62,1.40,        256.8057,        256.8057,        256.8058,1019.9,1019.9,1019.9,,,,1.2,-25.74,6.00,3.94,0.0480,0.00,0.05,,0.0,Kepler-222,,,Lyr,G,0.95,0.87,5433.0,0.591680,0.150,,,,19.1937,46.9378,-32.8,9.6706,3,0,0.589,1.402,-2.33,2.59,-0.88,0.22,,0.00,0.00,0.21,0,0,0,1,Primary Transit,      2014.00
Kepler-222 c,Kepler-222 c,723.03,Hot,Neptunian,gas,metals-rich,non-habitable,,19.83,,4.64,0.20,0.92,2.07,        71.45035,        71.45036,        71.45036,740.7,740.7,740.7,,,,3.9,-25.18,8.82,10.09,0.0910,0.00,0.09,,0.0,Kepler-222,,,Lyr,G,0.99,0.87,5433.0,0.591680,0.150,,,,19.1937,46.9378,-31.4,5.0966,3,0,0.589,1.402,-2.23,3.24,-0.26,0.20,,0.00,0.00,0.17,0,0,0,1,Primary Transit,      2014.00
Kepler-222 d,Kepler-222 d,723.02,Hot,Neptunian,gas,metals-rich,non-habitable,,9.94,,3.68,0.20,0.73,1.64,        18.26174,        18.26174,        18.26174,526.7,526.7,526.7,,,,2.0,-23.19,7.01,28.08,0.1800,0.00,0.18,,0.0,Kepler-222,,,Lyr,G,0.99,0.87,5433.0,0.591680,0.150,,,,19.1937,46.9378,-29.9,2.5760,3,0,0.589,1.402,-2.01,2.80,-0.35,0.22,,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-223 b,Kepler-223 b,730.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.40,,1.69,1.12,1.89,1.79,        202.2184,        202.2184,        202.2184,960.7,960.7,960.7,1002.4,1002.4,1002.4,6.0,-24.11,3.21,7.38,0.0730,0.00,0.07,,0.0,Kepler-223,,,Cyg,G,0.95,1.02,5829.0,1.077622,-0.211,,,,19.8879,47.2795,-32.5,7.4515,4,0,0.777,1.827,-2.34,-0.15,-0.61,0.29,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-223 c,Kepler-223 c,730.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,10.17,,1.99,1.28,2.56,2.26,        139.1557,        139.1557,        139.1558,875.0,875.0,875.0,920.0,920.0,920.0,13.1,-24.06,3.79,9.85,0.0880,0.00,0.09,,0.0,Kepler-223,,,Cyg,G,0.94,1.02,5829.0,1.077622,-0.211,,,,19.8879,47.2795,-32.1,6.1800,4,0,0.777,1.827,-2.31,-0.13,-0.25,0.30,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-223 d,Kepler-223 d,730.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.16,,2.98,0.19,0.58,1.32,        80.08485,        80.08488,        80.08488,762.1,762.1,762.1,,,,1.0,-24.34,5.66,14.79,0.1160,0.00,0.12,,0.0,Kepler-223,,,Cyg,G,0.95,1.02,5829.0,1.077622,-0.211,,,,19.8879,47.2795,-31.5,4.6873,4,0,0.777,1.827,-2.26,2.53,-0.81,0.22,,0.00,0.00,0.23,0,0,0,1,Primary Transit,      2014.00
Kepler-223 e,Kepler-223 e,730.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,22.16,,2.40,1.61,3.86,3.04,        54.98071,        54.98071,        54.98072,693.7,693.7,693.7,743.0,743.0,743.0,35.7,-23.45,4.56,19.72,0.1400,0.00,0.14,,0.0,Kepler-223,,,Cyg,G,0.94,1.02,5829.0,1.077622,-0.211,,,,19.8879,47.2795,-31.1,3.8834,4,0,0.777,1.827,-2.21,-0.12,0.50,0.31,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-224 b,Kepler-224 b,733.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.65,,1.39,0.99,1.38,1.38,        182.1642,        182.1642,        182.1643,936.0,936.0,936.0,974.1,974.1,974.1,2.6,-23.57,2.64,3.13,0.0380,0.00,0.04,,0.0,Kepler-224,,,Cyg,K,0.74,0.68,5018.0,0.263045,-0.309,,,,19.3956,47.3576,-32.4,9.5474,4,0,0.401,0.970,-2.28,-0.16,-0.86,0.29,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-224 c,Kepler-224 c,733.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.92,,3.11,0.20,0.61,1.38,        78.19415,        78.19418,        78.19418,757.6,757.6,757.6,,,,1.2,-24.41,5.92,5.93,0.0580,0.00,0.06,,0.0,Kepler-224,,,Cyg,K,0.74,0.68,5018.0,0.263045,-0.309,,,,19.3956,47.3576,-31.5,6.2511,4,0,0.401,0.970,-2.21,2.58,-0.76,0.22,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-224 d,Kepler-224 d,733.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,18.31,,2.30,1.51,3.47,2.82,        33.20858,        33.20858,        33.20859,611.6,611.6,611.6,659.8,659.8,659.8,27.7,-22.81,4.36,11.35,0.0890,0.00,0.09,,0.0,Kepler-224,,,Cyg,K,0.74,0.68,5018.0,0.263045,-0.309,,,,19.3956,47.3576,-30.6,4.0726,4,0,0.401,0.970,-2.10,-0.12,0.48,0.32,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-224 e,Kepler-224 e,733.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,9.72,,1.97,1.27,2.50,2.22,        17.10752,        17.10752,        17.10752,518.1,518.1,518.1,562.9,562.9,562.9,12.3,-21.75,3.75,18.64,0.1240,0.00,0.12,,0.0,Kepler-224,,,Cyg,K,0.74,0.68,5018.0,0.263045,-0.309,,,,19.3956,47.3576,-29.8,2.9228,4,0,0.401,0.970,-1.98,-0.14,0.16,0.33,0.00,0.00,0.00,0.33,0,0,0,1,Primary Transit,      2014.00
Kepler-225 b,Kepler-225 b,736.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.59,,1.20,0.93,1.11,1.15,        12.11522,        12.11522,        12.11522,475.3,475.3,475.3,511.0,511.0,511.0,1.5,-20.29,2.28,6.74,0.0560,0.00,0.06,,0.0,Kepler-225,,,Cyg,M,0.52,0.48,3682.0,0.037993,-0.185,,,,19.4796,47.4571,-29.5,4.5691,2,0,0.159,0.409,-1.82,-0.17,-0.71,0.34,0.00,0.00,0.00,0.40,0,0,0,1,Primary Transit,      2014.00
Kepler-225 c,Kepler-225 c,736.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.38,,1.84,1.19,2.19,2.00,        3.083624,        3.083624,        3.083625,337.6,337.6,337.6,380.9,380.9,380.9,8.8,-19.73,3.49,18.79,0.1110,0.00,0.11,,0.0,Kepler-225,,,Cyg,M,0.52,0.48,3682.0,0.037993,-0.185,,,,19.4796,47.4571,-28.0,2.3047,2,0,0.159,0.409,-1.38,-0.14,0.38,0.41,0.00,0.00,0.00,0.58,0,0,0,1,Primary Transit,      2014.00
Kepler-226 b,Kepler-226 b,749.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.88,,1.55,1.05,1.63,1.59,        250.3840,        250.3841,        250.3841,1013.4,1013.4,1013.4,1053.5,1053.5,1053.5,4.1,-24.15,2.94,3.94,0.0470,0.00,0.05,,0.0,Kepler-226,,,Cyg,G,0.86,0.80,5571.0,0.553098,-0.145,,,,19.4917,47.8810,-32.8,9.0804,3,0,0.565,1.339,-2.34,-0.15,-0.77,0.29,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-226 c,Kepler-226 c,749.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.55,,2.27,1.49,3.39,2.78,        164.4169,        164.4169,        164.4169,912.3,912.3,912.3,960.3,960.3,960.3,26.2,-24.53,4.32,5.35,0.0580,0.00,0.06,,0.0,Kepler-226,,,Cyg,G,0.86,0.80,5571.0,0.553098,-0.145,,,,19.4917,47.8810,-32.3,7.3556,3,0,0.565,1.339,-2.31,-0.12,0.05,0.30,0.00,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-226 d,Kepler-226 d,749.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.70,,1.22,0.93,1.14,1.18,        95.75803,        95.75804,        95.75805,797.0,797.0,797.0,832.9,832.9,832.9,1.6,-22.59,2.32,8.11,0.0760,0.00,0.08,,0.0,Kepler-226,,,Cyg,G,0.86,0.80,5571.0,0.553098,-0.145,,,,19.4917,47.8810,-31.7,5.6119,3,0,0.565,1.339,-2.26,-0.17,-0.92,0.29,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-227 b,Kepler-227 b,752.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.85,,3.10,0.20,0.61,1.37,        154.5499,        154.5499,        154.5499,898.3,898.3,898.3,,,,1.1,-25.14,5.90,9.49,0.0900,0.00,0.09,,0.0,Kepler-227,,,Cyg,G,1.08,1.09,5854.0,1.251854,0.136,,,,19.4623,48.1417,-32.2,6.4576,2,0,0.836,1.965,-2.32,2.57,-0.84,0.22,,0.00,0.00,0.21,0,0,0,1,Primary Transit,      2014.00
Kepler-227 c,Kepler-227 c,752.02,Hot,Neptunian,gas,metals-rich,non-habitable,,5.46,,3.04,0.20,0.59,1.34,        14.88530,        14.88530,        14.88531,500.4,500.4,500.4,,,,1.1,-22.54,5.77,54.42,0.2900,0.00,0.29,,0.0,Kepler-227,,,Cyg,G,1.10,1.09,5854.0,1.251854,0.136,,,,19.4623,48.1417,-29.7,2.0031,2,0,0.836,1.965,-1.97,2.55,-0.57,0.23,,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-228 b,Kepler-228 b,756.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.69,,1.52,1.04,1.59,1.56,        845.2316,        845.2317,        845.2318,1373.7,1373.7,1373.7,1413.5,1413.5,1413.5,3.8,-25.44,2.89,2.57,0.0380,0.00,0.04,,0.0,Kepler-228,,,Cyg,F,1.11,1.01,6043.0,1.220515,-0.067,,,,19.7524,48.2247,-34.1,14.2007,3,0,0.816,1.910,-2.42,-0.15,-0.92,0.28,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-228 c,Kepler-228 c,756.02,Hot,Neptunian,gas,no-atmosphere,non-habitable,,3.77,,2.70,0.19,0.52,1.18,        451.3736,        451.3737,        451.3738,1174.3,1174.3,1174.3,,,,0.7,-26.01,5.13,4.13,0.0520,0.00,0.05,,0.0,Kepler-228,,,Cyg,F,1.10,1.01,6043.0,1.220515,-0.067,,,,19.7524,48.2247,-33.4,10.3650,3,0,0.816,1.910,-2.40,2.45,-1.06,0.22,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-228 d,Kepler-228 d,756.01,Hot,Neptunian,gas,metals-rich,non-habitable,,13.05,,4.03,0.20,0.80,1.80,        119.6465,        119.6466,        119.6466,842.6,842.6,842.6,,,,2.6,-25.44,7.67,11.09,0.1010,0.00,0.10,,0.0,Kepler-228,,,Cyg,F,1.12,1.01,6043.0,1.220515,-0.067,,,,19.7524,48.2247,-31.9,5.3311,3,0,0.816,1.910,-2.31,2.96,-0.53,0.21,,0.00,0.00,0.18,0,0,0,1,Primary Transit,      2014.00
Kepler-229 b,Kepler-229 b,757.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,15.10,,2.20,1.43,3.13,2.62,        85.47361,        85.47361,        85.47363,774.6,774.6,774.6,821.8,821.8,821.8,21.6,-23.74,4.17,6.25,0.0620,0.00,0.06,,0.0,Kepler-229,,,Dra,K,0.81,0.73,5120.0,0.328561,-0.109,,,,19.1333,48.3758,-31.6,6.2778,3,0,0.446,1.074,-2.22,-0.13,0.09,0.31,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-229 c,Kepler-229 c,757.01,Hot,Neptunian,gas,metals-rich,non-habitable,,23.62,,4.92,0.20,0.98,2.19,        24.00179,        24.00180,        24.00180,563.9,563.9,563.9,,,,4.7,-24.12,9.35,16.07,0.1170,0.00,0.12,,0.0,Kepler-229,,,Dra,K,0.83,0.73,5120.0,0.328561,-0.109,,,,19.1333,48.3758,-30.2,3.3255,3,0,0.446,1.074,-2.05,3.38,0.05,0.20,,0.00,0.00,0.20,0,0,0,1,Primary Transit,      2014.00
Kepler-229 d,Kepler-229 d,757.02,Hot,Neptunian,gas,metals-rich,non-habitable,,11.27,,3.84,0.20,0.76,1.71,        6.788441,        6.788442,        6.788443,411.2,411.2,411.2,,,,2.2,-22.20,7.31,41.19,0.2200,0.00,0.22,,0.0,Kepler-229,,,Dra,K,0.84,0.73,5120.0,0.328561,-0.109,,,,19.1333,48.3758,-28.8,1.7684,3,0,0.446,1.074,-1.72,2.87,-0.10,0.23,,0.00,0.00,0.33,0,0,0,1,Primary Transit,      2014.00
Kepler-230 b,Kepler-230 b,759.01,Hot,Neptunian,gas,metals-rich,non-habitable,,15.34,,4.26,0.20,0.85,1.90,        16.12413,        16.12413,        16.12414,510.5,510.5,510.5,,,,3.1,-23.37,8.09,32.63,0.1910,0.00,0.19,,0.0,Kepler-230,,,Dra,G,0.87,0.82,5588.0,0.588225,-0.291,,,,19.0479,48.5059,-29.8,2.2881,2,0,0.582,1.379,-1.98,3.06,-0.10,0.22,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-230 c,Kepler-230 c,759.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,11.12,,2.04,1.31,2.68,2.34,        4.073577,        4.073577,        4.073577,361.9,361.9,361.9,407.4,407.4,407.4,14.6,-20.26,3.87,91.77,0.3800,0.00,0.38,,0.0,Kepler-230,,,Dra,G,0.87,0.82,5588.0,0.588225,-0.291,,,,19.0479,48.5059,-28.3,1.1500,2,0,0.582,1.379,-1.51,-0.13,0.64,0.38,0.00,0.00,0.00,0.51,0,0,0,1,Primary Transit,      2014.00
Kepler-231 b,Kepler-231 b,784.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.82,,1.72,1.13,1.95,1.84,        7.921383,        7.921385,        7.921387,427.4,427.4,427.4,469.5,469.5,469.5,6.6,-20.62,3.28,10.07,0.0740,0.00,0.07,,0.0,Kepler-231,,,Cyg,M,0.58,0.49,3767.0,0.043378,-0.011,,,,19.5982,50.5319,-29.0,3.5293,2,0,0.170,0.435,-1.72,-0.15,-0.01,0.37,0.00,0.00,0.00,0.42,0,0,0,1,Primary Transit,      2014.00
Kepler-231 c,Kepler-231 c,784.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.88,,1.93,1.24,2.39,2.15,        3.337758,        3.337758,        3.337759,344.4,344.4,344.4,388.6,388.6,388.6,11.0,-19.92,3.66,19.27,0.1140,0.00,0.11,,0.0,Kepler-231,,,Cyg,M,0.58,0.49,3767.0,0.043378,-0.011,,,,19.5982,50.5319,-28.0,2.2908,2,0,0.170,0.435,-1.42,-0.14,0.51,0.40,0.00,0.00,0.00,0.56,0,0,0,1,Primary Transit,      2014.00
Kepler-232 b,Kepler-232 b,787.01,Hot,Neptunian,gas,metals-rich,non-habitable,,5.72,,3.08,0.20,0.60,1.36,        338.3593,        338.3593,        338.3593,1092.7,1092.7,1092.7,,,,1.1,-25.98,5.86,4.43,0.0540,0.00,0.05,,0.0,Kepler-232,,,Cyg,G,1.07,0.97,5847.0,0.986656,0.083,,,,19.7211,51.1217,-33.1,9.5839,2,0,0.742,1.746,-2.37,2.57,-0.93,0.22,,0.00,0.00,0.21,0,0,0,1,Primary Transit,      2014.00
Kepler-232 c,Kepler-232 c,787.02,Hot,Neptunian,gas,metals-rich,non-habitable,,11.18,,3.83,0.20,0.76,1.71,        96.72144,        96.72147,        96.72147,799.0,799.0,799.0,,,,2.2,-25.09,7.28,11.38,0.1010,0.00,0.10,,0.0,Kepler-232,,,Cyg,G,1.06,0.97,5847.0,0.986656,0.083,,,,19.7211,51.1217,-31.7,5.1198,2,0,0.742,1.746,-2.28,2.87,-0.56,0.21,,0.00,0.00,0.19,0,0,0,1,Primary Transit,      2014.00
Kepler-233 b,Kepler-233 b,790.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,23.62,,2.43,1.65,4.00,3.12,        72.14309,        72.14310,        72.14311,742.5,742.5,742.5,792.2,792.2,792.2,38.9,-23.78,4.62,8.47,0.0770,0.00,0.08,,0.0,Kepler-233,,,Cyg,G,0.85,0.76,5360.0,0.427736,-0.067,,,,19.7578,51.3195,-31.4,5.2618,2,0,0.503,1.200,-2.22,-0.11,0.48,0.31,0.00,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-233 c,Kepler-233 c,790.02,Hot,Neptunian,gas,metals-rich,non-habitable,,3.82,,2.71,0.19,0.52,1.19,        5.192929,        5.192930,        5.192931,384.6,384.6,384.6,,,,0.7,-21.15,5.15,60.42,0.2870,0.00,0.29,,0.0,Kepler-233,,,Cyg,G,0.86,0.76,5360.0,0.427736,-0.067,,,,19.7578,51.3195,-28.5,1.4112,2,0,0.503,1.200,-1.62,2.45,-0.56,0.25,,0.00,0.00,0.42,0,0,0,1,Primary Transit,      2014.00
Kepler-234 b,Kepler-234 b,800.01,Hot,Neptunian,gas,metals-rich,non-habitable,,10.03,,3.70,0.20,0.73,1.65,        1036.798,        1036.798,        1036.798,1445.7,1445.7,1445.7,,,,2.0,-27.60,7.03,2.71,0.0400,0.00,0.04,,0.0,Kepler-234,,,Lyr,F,1.16,1.11,6224.0,1.658877,0.075,,,,19.4436,38.4947,-34.3,14.8298,2,0,0.941,2.194,-2.44,2.81,-0.89,0.21,,0.00,0.00,0.19,0,0,0,1,Primary Transit,      2014.00
